URL,Emails,Phones,Payments
"it-nerd24.de","","0725815832; 08000008124","paypal; stripe"
"ital-design.de","service@ital-design.de","020702757; 0049 431 394 799 60","paypal; amazon_pay"
"justhifi.de","info@justhifi.de","041245587; 04124 5587","paypal; amazon_pay"
"kaffeezentrale.de","info@kaffeezentrale.de","0 0 262 18; 0-4-3-7-7","paypal"
"keylargo-shop.de","","039098710; 06224 - 1751315","paypal"
"kfp-shop.de","service@kfp-pharma.de","06172-850 9012; +4961728509012","paypal; stripe; amazon_pay"
"kiesundco.de","kontakt@kiesundco.de","02632/9839-200","paypal; amazon_pay"
"kineco-shop.de","","+490235494499223 ; +49 2354 94499 223","paypal; klarna; stripe"
"kistenpfennig-natuerlich-gut.de","","+49613132711400; 06131 - 32711400 ","paypal; amazon_pay"
"kleiderschrank.com","info@kleiderschrank.com","02/86/94/; 02152 - 9597464","paypal; klarna"
"kleinschmidtgmbh.com","info@kleinschmidtgmbh.com","00
                                            ; 0
                                    ","paypal; amazon_pay"
"klinkenfabrik.de","","+4923717867770; 02371 - 786777-0","paypal; stripe"
"kontaktlinsen.de","","0800 - 90 50 200; +498009050200","paypal"
"laminierfolien-24.de","kundenservice@laminierfolien-24.de","0800 - 888 2 666; 00/69/89/","paypal"
"led-emotion.de","","+4951328305530; 05132 8305530","paypal"
"lederjacken24.de","","0134203012; 0371 - 450 599 3","paypal; amazon_pay"
"leuchtmittel-verkauf.de","","+4928712347790; 0211591312","paypal; klarna; stripe"
"licensequeen.com","","040/696328500; +4940 6963285 00","paypal; amazon_pay"
"licensequeen.de","","040/696328500; +4940 6963285 00","paypal; amazon_pay"
"lichtdiscount.de","info@lichtdiscount.de","02008121209; 056630776","paypal; amazon_pay"
"lizenzguru.de","","0 0 17 17; 0 0 510 510","paypal"
"lizenzstar.de","","08/62/58/; 025-10-01","paypal; klarna; stripe; amazon_pay; apple_pay; google_pay"
"lldesaxe-fashion.de","","08/45/94/; +4935127270800","paypal"
"loadcare.de","","+49 381 121 83 192; 038112183192","paypal; klarna; amazon_pay; apple_pay"
"madforshirts.de","","+4961357066983; 06135 7066983","paypal"
"magic-dessous.de","","+493514904208; 0 0 167 90","paypal"
"marc-aurel.com","eshop@marc-aurel.com","+49 151 227 376 89; 080547737","paypal; klarna; amazon_pay; google_pay"
"marken-tresore24.de","","+4943428820691; 04342 - 882069-1","paypal; klarna"
"mein-motoroelshop.de","support@optimum-sales.de","+49 4261 184 27 72; +49 4261 184 27 72 ","paypal; klarna"
"meine-stegplatten.de","info@meine-stegplatten.de","0 0 24 24; +494793955910","paypal; amazon_pay"
"meinlshop.de","","09161 788-849; 09/73/21/","paypal; amazon_pay"
"memo.de","","01904021344; 015945946","paypal"
"mintkind.com","service@mintkind.com","025-06-25 ; 0 0 1923 566","paypal"
"moryskin.com","support@moryskin.com","020861351; 0
                ","paypal"
"motor-oel-guenstig.de","kontakt@motor-oel-guenstig.de","0581 - 90 92 70 98; 0581 - 90 92 70 98 ","paypal; amazon_pay"
"motorradbekleidung.de","","0210721044719221; +49 07720 95 68 66","paypal"
"motorroller.de","info@motorroller.de","01904021344; 020-05-26","paypal; amazon_pay"
"naehmaschinen-paradies.de","","07131 - 681 23 ; +49 7131 - 681 23","paypal; klarna; amazon_pay"
"neuesbad.de","info@neuesbad.de","","paypal; amazon_pay"
"neutrends.de","","0-659-20-0-; 0-659 20 0 ","paypal"
"notebookheaven.de","","068573646; 0843747-1","paypal; stripe"
"ofenersatzteileshop.de","","09527024163
","paypal; amazon_pay"
"office-lieferant.de","","+499112740274; 0911 / 274 0 274","paypal; amazon_pay"
"office-partner.de","shop@office-partner.de; b2b@office-partner.de","+4925429558250; +49 2542 9558-250","paypal; klarna; amazon_pay; apple_pay"
"original-flightjackets.com","","08/67/45/; +4924319551400","paypal"
"osb-sport-begeistert.com","","04471 - 7228 ; +4944717228","paypal"
"ostermann.de","vviinn-widgets@2.191","0 0 44 42; 0
            ","paypal"
"outdoor-renner.de","service@outdoor-renner.de","+4987099005055; 09 900 50 55","paypal"
"outdoortrends.de","info@outdoortrends.de","058484667; 06/65/294","paypal; amazon_pay"
"parfuemerie-rook.de","","+4951176830000; 0511 76830000 ","paypal"
"party.de","","04531640-1; 0 0 253 60","paypal; klarna; amazon_pay"
"pflanzenhof-online.de","","008965566981; 006772424642","paypal"
"pieper.de","","0 0 25 20; 0 0 22 22","paypal; amazon_pay"
"pink-dots.de","","0 577 019 38; 09/76/09/","paypal"
"piowald.com","info@piowald.com","04344246841683777162/; 04344246841683777162","paypal; stripe; amazon_pay"
"planet-stereo.de","","","paypal; amazon_pay"
"pomadeshop.com","info@pomadeshop.de","0615420402162; +498969374504","paypal; amazon_pay"
"profivakuum.de","sven.sauerbier@profivakuum.de","01772194286; 0177 219 42 86","paypal; amazon_pay"
"reiche-sicherheit.de","r.heinrich@reiche-Sicherheit.de","0345 20 93 87 00; 0 93 87 00","paypal"
"reisser-musik.de","info@reisser-musik.de","+49731153645; 072046969","paypal; amazon_pay"
"reitshop24.de","","08/48/22/; 018-4415-","paypal"
"rexin-shop.de","","02/00/20/; 09/82/83/","paypal; stripe; amazon_pay"
"roofers-shop.de","","+49 2557-93660","paypal"
"sanitaets-online.de","service@sanitaets-online.de","0281 - 300 27 460; 00 27 460","paypal; amazon_pay"
"sanundo.de","","03504 629690 ; 03504/62969-0","paypal; amazon_pay"
"scandinavian-lifestyle.de","info@scandinavian-lifestyle.de","068620727; +4923629536002","paypal; stripe; amazon_pay"
"schoenheitsberatung.de","","024-09-30; 0126953-2","paypal; apple_pay"
"schreibwaren-wegmann.de","","09922609490; +499922609490","paypal"
"schuhhaus-strauch.de","service@schuhhaus-strauch.de","035603-189092 ; +4935603189092","paypal; klarna; amazon_pay; apple_pay"
"seaside64.de","","00390625 ; 0055555555555556 ","paypal; klarna"
"servermind.de","info@dcmind.de","+49 89 3066941-0 ; 03/1061113-","paypal"
"shakeover.com","shop@shakeover.com","+4923454296020; +49 234 54 29 60 20","paypal; stripe"
"sicherheitstechnik-feldmann-shop.de","werner-feldmann@online.de","+4989-20232216; 089-20232216","paypal"
"silber-corner.de","","038702175; 004991357218030","paypal"
"softwarehunter.de","support@softwarehunter.de","021717949087 ","paypal; klarna; amazon_pay"
"softwareindustrie24.de","","05/21/81/; 06799859040224","paypal; klarna; stripe; amazon_pay"
"softwarekaufen24.de","","025-01-01; 026-02-01","paypal; klarna; stripe; amazon_pay; apple_pay; google_pay"
"softwaremarkt24.de","","004951219288807; 05121 - 928 880 7","paypal; klarna; amazon_pay; apple_pay"
"sonnenmax.de","","+49 2841 368 770; 02841/368 77 0 ","paypal"
"sonnensegel-pina.de","","+4923827680922; 02382 768 09 22","paypal"
"soukdumaroc.de","info@soukdumaroc.de","+49 228 7077327 ; +49 228 7077 327","paypal"
"sport-wanninger.de","","+498001000120; 0800 1000120","paypal; klarna; apple_pay"
"sportfits.de","","0 0 34 32; 053191 19","paypal; klarna; stripe; amazon_pay"
"sportklahsen.de","info@sportklahsen.de","04962-91360 ; 034539610/","paypal"
"sportspar.de","","07308-8507; 00457-011","paypal; klarna; amazon_pay"
"staubsaugerladen.de","","+497161352788; 07161-352788","paypal; klarna; amazon_pay"
"stilwahl.de","","0 0 14 14; 0 0 18 0 18 18 0 18","paypal; amazon_pay"
"synergy-networks.de","sales@synergy-networks.de","0069444444444444 ; 016949152542373 ","paypal; stripe"
"tenderey.de","","040102580; 0/71/040102580","paypal; amazon_pay"
"teso-shop.de","info@teso-shop.de","+493578787752; +49 3578 787752","paypal; amazon_pay"
"the-jeans.de","info@the-jeans.de","052141231; 0 0 512 512","paypal; klarna; amazon_pay"
"thegoodthings.de","franc.apel@thegoodthings.de","068635415; 09/87/01/","paypal; stripe; amazon_pay"
"thinkstore24.de","info@thinkstore24.de","0208 38 57 43 77; +4920838574377","paypal; amazon_pay"
"tintenmarkt.de","","072410957; 088762654263 ","paypal; amazon_pay"
"tonerlieferant24.de","","030 - 403 641 660","paypal; amazon_pay"
"tonitec.com","kundenservice@tonitec.com","07/87/24/650; 0/04/26/115","paypal; amazon_pay"
"tor7.de","","070894167; +493942188900","paypal"
"torten-boutique.de","","05962 /3 98 98 13; 0 59 62 /","paypal; amazon_pay"
"vandenhoeck-ruprecht-verlage.com","","0/41/978-3-525-70018-1; 05-22312-2","paypal; amazon_pay"
"volksversand.de","info@volksversand.de","020-10-05; 028-08-15","paypal; klarna"
"vorlagen-center.com","service@vorlagen-center.com","017-09-22-; +49-6181-4187941 ","paypal; klarna; stripe"
"weekview.de","webshop@weekview.de","0 0 576 512; 089 90157771","paypal; klarna; amazon_pay"
"wiresoft.com","info@wiresoft.com; vue@2.6.10","060153557; 0800 - 20 44 222","paypal; stripe"
"wocashop.de","beratung@wocashop.de; buchhaltung@wocashop.de; reklamation@wocashop.de; b2b@wocashop.de; leitung@wocashop.de","07631-1832-600","paypal"
"wolle-aktuell.de","","069595114; 07306-01001-","paypal; stripe; apple_pay"
"wollzauber.com","","00352-400506; 00352-400506 ","paypal; amazon_pay"
"zahaira.de","","+49-521-98877820; 0521-988 778 20","paypal; stripe"
"zeolithwelt.de","","","paypal"
"zisternenprofi.de","info@zisternenprofi.de","0906146213; +4941055615560","paypal; klarna"
"zooroyal.de","deineemail@beispiel.de","0 0 1792 1792; 0 159-112","paypal"
"zweiradteile.net","","031746031746; 0 0 126 31","paypal; klarna; apple_pay"
"as-garten.de","info@as-garten.de","00491805336999; 0180 533 6999","paypal"
"boesner.com","","+4923029106613; 0 66 - 13","paypal; stripe"
"casper.de","nutzer@beispiel.de; info@barcodescanner.de","000-2020 ; 0 0 24 24","paypal; mollie"
"davert.de","info@davert.de","","paypal"
"officepartner.de","shop@office-partner.de; b2b@office-partner.de","+4925429558250; +49 2542 9558-250","paypal; klarna; amazon_pay; apple_pay"
"paper-markt.de","","02567 / 6603701; 025618667559","paypal; klarna; stripe; amazon_pay; apple_pay"
"trends.de","vviinn-widgets@2.191","07/73/61/; 0 0 44 42","paypal"
"uhrinstinkt.de","","0011
    ; 01-113-7806-4088-","paypal"
"weinfreunde.de","","06904327344; 0 0 0 / 32","paypal"
"funktechnik-bielefeld.de","","0/11/12/15; 0 11 12 15","paypal"
"zeck-fishing.com","","02119290828704833984375; 0999999999994543031789362430572509765625","paypal; klarna; stripe; amazon_pay"
"shirtinator.de","","0260130082656; 047256800541","paypal"
"rietze.de","info@rietze.de","00499187 960; 09187 - 9600","paypal"
"faller.de","","070008012; +49077236510","paypal"
"boker.de","","01812030839; 0
            ","paypal; klarna"
"digel.de","","0 0 28 32","paypal"
"grundstoff.net","service@grundstoff.net","+4961049872250; +49 6104 9872250","paypal"
"hiq24.de","","+492404552222; 02404 - 55 22 22","paypal; amazon_pay"
"k-m.de","","018-12-21-; 024-09-16-","paypal"
"gardinen-sauer.de","info@gardinen-sauer.de","+497161969353; +49 7161 969353","paypal"
"jagido.de","","+497802705209; 07802 / 70 52 09","paypal"
"kavalio.de","","0 0 448 512","paypal; amazon_pay"
"kmcomputer.de","","0213943551; +4924219520570","paypal; amazon_pay"
"markanto.de","","+492219723920; 0221 9723920","paypal"
"naturkost.com","","","paypal"
"rc-modell-shop.de","","+4936202777588; 036202-777588","paypal"
"schuhe24.de","","01909250854; 0 0 19 19","paypal; klarna"
"stratic.de","","05131 - 59 609 0 ; 05131 - 59 609 39","paypal; stripe"
"tapir-store.de","mail@tapir-store.de","+493412110300; 0341 - 21 10 300","paypal"
"trauringshop24.de","","02/82/52/; 070867715","paypal"
"vinello.de","","0 0 18 14; 0 0 24 24","paypal"
"alles-zum-schlafen.de","","052759857; 062770653","paypal; amazon_pay"
"bbq-toro.de","verkauf@cs-trading.de","","paypal; amazon_pay"
"bunert.de","","+4921117546800; 0211-17546800","paypal; stripe; amazon_pay"
"bw-discount.de","","004985513219857; 08551-3219857","paypal"
"copterfarm.de","","06007 - 3331664 ; +496007-3331664","paypal; amazon_pay"
"cramershop.com","service@cramershop.com","0 0 18 27; 0 0 16 16","paypal"
"duerninger.de","","+49 911 234 2511; +49911 2342511","paypal"
"fotobrenner.de","info@fotobrenner.de","09 61 - 6 70 60 - 50; 09 61 - 6 70 60 - 70","paypal"
"fpvcopter.de","service@fpvcopter.de","","paypal"
"frogcoffee.de","","001530099; 001530101","paypal"
"gartenhausfabrik.de","service@gartenhausfabrik.de","026-02-02; 030-233267170","paypal; amazon_pay"
"golfshop.de","","08024 6499942; 08024 - 64 999 42","paypal; klarna; amazon_pay; apple_pay"
"gradmann1864.de","","0-599202772905; 011700749324","paypal"
"heunert.de","","+4929216890; 02921 - 689-0","paypal"
"livingactive.de","","0 0 20 20; 066 0 001","paypal"
"meinhausshop.de","info@meinhausshop.de","0186381-1; 0456327-1","paypal; amazon_pay"
"nurgutes.de","","+495921302790; 00/03/75/","paypal; stripe"
"purenature.de","info@purenature.de","06784-983 990; 06784 - 983 990 ","paypal"
"reifen-felgen.de","","00 / 200 ","paypal"
"schuhmuecke.de","","0 0 32 32; 04/22/360","paypal; klarna"
"stoffe-werning.de","","079829171; 009713819","paypal; stripe"
"wellenshop.de","","+4935126561113; 0351 26561113","paypal; amazon_pay"
