product_number	produkt_name	hersteller	stock	available_stock	active	manufacturer_number	brutto_preis	varianten	created_at
26R7RS	Individuelle Schließanlage 26R7RS	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
273SL4	Individuelle Schließanlage 273SL4	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
27FN8	Individuelle Schliessanlage DOM RS Sigma plus Nr: 27FN8	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-09-14 00:00:00.000
2840EURD	Master Lock Vorhangschloss 2840EURD aus extradickem Massivmessing	Master Lock	2	2	1	2840EURD	NULL	0	2019-10-22 00:00:00.000
286P100	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 100 mm, Bever 286	Bever	0	0	0	286P100	NULL	0	2021-03-08 00:00:00.000
286P50	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 50 mm, Bever 286	Bever	1	1	1	286P50	NULL	0	2021-03-08 00:00:00.000
286P55	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 55 mm, Bever 286	Bever	2	2	1	286P55	NULL	0	2021-03-08 00:00:00.000
286P60	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 60 mm, Bever 286	Bever	3	3	1	286P60	NULL	0	2021-03-08 00:00:00.000
286P70	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 70 mm, Bever 286	Bever	0	0	0	286P70	NULL	0	2021-03-08 00:00:00.000
286P80	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 80 mm, Bever 286	Bever	0	0	0	286P80	NULL	0	2021-03-08 00:00:00.000
286P90	Einsteck-Riegelschloss, PZ gelocht, Stulp 20x160 mm, Dorn 90 mm, Bever 286	Bever	0	0	0	286P90	NULL	0	2021-03-08 00:00:00.000
2BCOFK	Individuelle Schließanlage 2BCOFK	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2D449F	Individuelle Schließanlage 2D449F	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2EG00F	Individuelle Schließanlage 2EG00F	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2F1W3	Individuelle Schliessanlage DOM RS Sigma plus Nr: 2F1W3	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-11-30 00:00:00.000
2FT530	Individuelle Schließanlage 2FT530	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2GW19V	Individuelle Schließanlage 2GW19V	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2NH1I	Individuelle Schliessanlage DOM RS Sigma plus Nr: 2NH1I	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-01-02 00:00:00.000
2NQ26T	Individuelle Schließanlage 2NQ26T	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2T8M2	Individuelle Schliessanlage DOM RS Sigma plus Nr: 2T8M2	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-01-18 00:00:00.000
2UOUX3	Individuelle Schließanlage 2UOUX3	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2W3HZG	Individuelle Schließanlage 2W3HZG	NULL	0	0	1	NULL	NULL	0	2024-01-01 08:17:05.000
2W9BE6	Individuelle Schließanlage 2W9BE6	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2XKZ5	Individuelle Schliessanlage DOM ix Twido Nr: 2XKZ5	Becker Sicherheitstechnik GmbH	0	0	0	NULL	NULL	0	2022-02-05 00:00:00.000
2Z8ZAG	Individuelle Schließanlage 2Z8ZAG	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
2ZI9Y	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 2ZI9Y	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-02-08 00:00:00.000
2ZTMIX	Individuelle Schließanlage 2ZTMIX	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
3000203560	Rosettengarnitur Hoppe "New York" 1810/42KV/42KVS, BAD/WC, Nuss 8 mm, Ø 52 mm, F1	Hoppe	11	11	1	3273258	NULL	0	2020-04-07 00:00:00.000
3000210969	Bodentürpuffer Puck ma INTERSTEEL	Intersteel	11	11	0	NULL	NULL	0	2023-05-24 00:00:00.000
3000220076	Schutz-Wechselgarnitur Hoppe "Birmingham" 78G/2221A/2440/1117, 92 mm PZ, Nuss 10 mm, Schutz-Langschi	Hoppe	4	4	1	3958898	NULL	0	2020-04-17 00:00:00.000
3000250678	Schutz-Drückergarnitur Hoppe "Birmingham" 1117/2221A/2440, 72 mm PZ, Nuss 8 mm, Schutzlangschild, F2	Hoppe	4	4	1	2550567	NULL	0	2020-04-17 00:00:00.000
3000250680	Schutz-Drückergarnitur Hoppe "Birmingham" 1117/2221A/2440, 92 mm PZ, Nuss 10 mm, Schutzlangschild, F	Hoppe	5	5	1	2578324	NULL	0	2020-04-17 00:00:00.000
3000250681	Schutz-Drückergarnitur Hoppe "Birmingham" 1117/2221A/2440, 92 mm PZ, Nuss 10 mm, Schutzlangschild, F	Hoppe	6	6	1	2578973	NULL	0	2020-04-17 00:00:00.000
3000250684	Schutz-Wechselgarnitur Hoppe "Birmingham" 78G/2221A/2440/1117, 92 mm PZ, Nuss 10 mm, Schutz-Langschi	Hoppe	11	11	1	3958775	NULL	0	2020-04-17 00:00:00.000
3000251030	Haustür-Einsteckschloss BMH Nr. 34, PZ gelocht, 65/10/92 mm, 20x280 mm Stulp rund, DIN links	BMH	15	15	1	0034.000057	NULL	0	2020-05-27 00:00:00.000
3000251031	Haustür-Einsteckschloss BMH Nr. 34, PZ gelocht, 65/10/92 mm, 20x280 mm Stulp rund, DIN rechts	BMH	10	10	1	0034.000058	NULL	0	2020-05-27 00:00:00.000
3000251057	BMH Panikschloss 1013 PZW Funktion E DIN Links	BMH	8	8	1	1013.000065	NULL	0	2024-11-29 09:13:11.062
3000251058	BMH Panikschloss 1013 PZW Funktion E DIN Rechts	BMH	9	9	1	1013.000066	NULL	0	2024-11-29 09:50:47.516
3000251610	Universal-Kastenschloss mit schließender Falle, BB gelocht, links / rechts verwendbar, einwärts / au	Bever	16	16	1	3000251610	NULL	0	2021-03-08 00:00:00.000
3000251612	Universal-Kastenschloss mit schließender Falle, PZ gelocht, links / rechts verwendbar, einwärts / au	Bever	16	16	1	3000251612 79PK	NULL	0	2021-03-08 00:00:00.000
3000251630	Universal-Kastenschloss mit hebender Falle, BB gelocht, links / rechts verwendbar, einwärts / auswär	Bever	14	14	1	3000251630	NULL	0	2021-03-08 00:00:00.000
3000251631	Universal-Kastenschloss mit hebender Falle, PZ gelocht, links / rechts verwendbar, einwärts / auswär	Bever	6	6	1	3000251631	NULL	0	2021-03-08 00:00:00.000
3000251803	Flachschließblech für elektrische Türöffner, Edelstahl links	effeff ASSA ABLOY	0	0	0	NULL	NULL	0	2020-09-09 00:00:00.000
3000251805	Flachschließblech für elektrische Türöffner, Edelstahl rechts	effeff ASSA ABLOY	0	0	0	NULL	NULL	0	2020-09-09 00:00:00.000
3000252985	Zimmertürgarnitur Hoppe "Birmingham" 1117/202SP, 72 mm BB, Nuss 8 mm, Langschild, F1	Hoppe	-26	-26	1	2533847	NULL	0	2020-04-07 00:00:00.000
3000252986	Zimmertürgarnitur Hoppe "Birmingham" 1117/202SP, 72 mm PZ, Nuss 8 mm, Langschild, F1	Hoppe	58	58	1	2533978	NULL	0	2020-04-07 00:00:00.000
3000252987	Zimmertürgarnitur Hoppe "Birmingham" 1117/202SP, 78 mm BAD/WC, Nuss 8 mm, Langschild, F1	Hoppe	22	22	1	2534014	NULL	0	2020-04-07 00:00:00.000
3000252988	Zimmertürgarnitur Hoppe "Birmingham" 1117/202SP, 72 mm BB, Nuss 8 mm, Langschild, F2	Hoppe	200	200	1	2533935	NULL	0	2020-04-07 00:00:00.000
3000252989	Zimmertürgarnitur Hoppe "Birmingham" 1117/202SP, 72 mm PZ, Nuss 8 mm, Langschild, F2	Hoppe	16	16	1	2533986	NULL	0	2020-04-07 00:00:00.000
3000252990	Zimmertürgarnitur Hoppe "Birmingham" 1117/202SP, 78 mm BAD/WC, Nuss 8 mm, Langschild, F2	Hoppe	36	36	1	2534073	NULL	0	2020-04-07 00:00:00.000
3000255592	Tortreibriegel TR 13, ohne Stange, 13 mm	PLANO	5	5	1	4013 2000 33	NULL	0	2021-03-11 00:00:00.000
3000255655	Stange für Tortreibriegel TR 13, 13x13x1250 mm	DENI	16	16	0	4113125133	NULL	0	2021-03-11 00:00:00.000
3000259201	Türspion, verchromt, 200 Grad, 14 mm, für Türstärke 35–60 mm	BMB	42	42	1	601 118536	NULL	0	2020-09-15 00:00:00.000
3000259579	WC-/Bad-Modul für PZ-vorgerichtete Türen	Schnegel	12	12	1	3000259579	NULL	0	2023-08-02 00:00:00.000
3000261161	EDI Fenstergriff 1003/1035 "MIMAS" Aluminium F9016 verkehrsweiß 35 mm Standard 	EDI	-8	-8	1	1003/1035/12	NULL	0	2025-01-17 07:44:58.645
3000261192	EDI Fenstergriff 1003/2035 "MIMAS" Alu.35mm F12/verkehrsweiß	EDI	43	43	1	1003/2035/12	NULL	0	2025-01-16 14:58:04.169
3000291832	Schlüsselschrank, vorgerichtet für Profilhalbzylinder, 100 Haken, lichtgrau	BASI	3	3	0	NULL	NULL	0	2021-03-08 00:00:00.000
300301P	Schlosskasten 300301P kompl. für 30mm	Bever	5	5	1	300P	NULL	0	2024-08-29 00:00:00.000
3040EURDAT	Master Lock Twin Wire-Spanngummi 3040EURDAT, 6 Stück	Master Lock	3	3	1	3040EURDAT	NULL	0	2019-03-13 00:00:00.000
3043EURDAT	Master Lock Twin Wire-Spanngummi 3043EURDAT, 10 Stück	Master Lock	2	2	1	3043EURDAT	NULL	0	2019-03-13 00:00:00.000
3056EURDAT	Master Lock 4,25 m Zurrgurt 3056EURDAT mit Ratsche und S-Haken	Master Lock	4	4	1	3056EURDAT	NULL	0	2019-03-13 00:00:00.000
3059EURDAT	Master Lock 8,25 m Zurrgurt 3059EURDAT mit Ratsche und J-Haken	Master Lock	8	8	1	3059EURDAT	NULL	0	2019-03-13 00:00:00.000
3060-1020	Fuhr Renovierungsverriegelung Multisafe 855WE, Entfernung 72 mm, Stulp 20 mm, Dornmaß 65 mm	Fuhr	0	0	0	NULL	NULL	0	2020-09-15 00:00:00.000
3060-1022	Fuhr Renovierungsverriegelung Multisafe 855WE, Entfernung 72 mm, Stulp 20 mm, Dornmaß 55 mm	Fuhr	0	0	0	NULL	NULL	0	2020-09-15 00:00:00.000
3062EURDAT	Master Lock 1,8 m Zurrgurt 3062EURDAT mit Ratsche, 4 Stück	Master Lock	0	0	1	3062EURDAT	NULL	0	2019-03-13 00:00:00.000
3066EURDAT	Master Lock 4,25 m Zurrgurt 3066EURDAT mit Druckratsche und S-Haken	Master Lock	1	1	1	3066EURDAT	NULL	0	2019-03-13 00:00:00.000
30V5J	Individuelle Schliessanlage DOM ix Twido Nr: 30V5J	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-08-08 00:00:00.000
3107EURDAT	Master Lock Twin Wire-Spanngummi 3107EURDAT, 12 Stück	Master Lock	3	3	1	3107EURDAT	NULL	0	2019-03-13 00:00:00.000
3108EURDAT	Master Lock 5 m Zurrgurt 3108EURDAT mit Ratsche	Master Lock	7	7	1	3108EURDAT	NULL	0	2019-03-13 00:00:00.000
3109EURDAT	Master Lock 5 m Zurrgurt 3109EURDAT mit Druckratsche und S-Haken	Master Lock	4	4	1	3109EURDAT	NULL	0	2019-03-13 00:00:00.000
3110EURDAT	Master Lock 2,5 m Gurtband 3110EURDAT, 2 Stück	Master Lock	23	23	1	3110EURDAT	NULL	0	2019-03-13 00:00:00.000
3113EURDAT	Master Lock 1,8 m Zurrgurt 3113EURDAT mit Ratsche, 2 Stück	Master Lock	1	1	1	3113EURDAT	NULL	0	2019-03-13 00:00:00.000
3126EURDAT	Master Lock verschränkter Tragegurt 3126EURDAT mit 2 Griffen	Master Lock	0	0	1	3126EURDAT	NULL	0	2019-03-13 00:00:00.000
3140	Master Lock Vorhangschloss 140EURD aus Massivmessing	Master Lock	38	38	0	140EURD	NULL	0	2020-05-27 00:00:00.000
3170	Master Lock Vorhangschloss 170EURD aus Massivmessing	Master Lock	12	12	1	170EURD	NULL	0	2020-05-27 00:00:00.000
3181-3230	HOPPE FENSTERGRIFF 0710/U26-3NA "TOKYO" LM F1 SILBERF.	Hoppe	24	24	1	8106619	NULL	0	2025-01-16 13:15:48.351
3181-3235	HOPPE FENSTERGRIFF 0710/U26-3NA "TOKYO" LM F9 Stahlf.	Hoppe	58	58	1	4012789618815	NULL	0	2022-05-04 00:00:00.000
3181-3238	HOPPE FENSTERGRIFF 0710/U26-3NA "TOKYO" LM F12 weiß	Hoppe	14	14	1	4012789603798	NULL	0	2022-05-04 00:00:00.000
3181-3268	HOPPE FENSTERGRIFF TOKYO 0710S/U26	Hoppe	14	14	1	1827907	NULL	0	2025-01-13 12:22:07.360
319SF	Individuelle Schliessanlage DOM ix Twido Nr: 319SF	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2022-11-16 00:00:00.000
3248EURDAT	Master Lock 3 m Zurrgurt 3248 EURDAT mit Druckratsche und S-Haken, einfahrbar	Master Lock	1	1	1	3248EURDAT	NULL	0	2019-03-13 00:00:00.000
3249EURDAT	Master Lock 3249EURDAT 8-teiliges Umzugsset	Master Lock	2	2	1	NULL	NULL	0	2019-03-13 00:00:00.000
3258EURDAT	Master Lock Spanngummi 3258EURDAT mit Kugel, 10 Stück	Master Lock	6	6	1	3258EURDAT	NULL	0	2019-03-13 00:00:00.000
3378EURDAT	Master Lock 6 m Zurrgurt 3378EURDAT mit Druckratsche	Master Lock	2	2	1	3378EURDAT	NULL	0	2019-03-13 00:00:00.000
33XOW	Individuelle Schliessanlage DOM ix Twido Nr: 33XOW	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-08-08 00:00:00.000
340341P	Schloss und Gehäuse 340341P PZW 40/72/8	Bever	3	3	1	340341P 	NULL	0	2024-08-29 00:00:00.000
34680EURDNKL	Master Lock TSA-Gepäckschloss mit individuell einstellbarer Zahlenkombination	Master Lock	5	5	0	4680EURDNKL	NULL	0	2020-05-27 00:00:00.000
3A1EQH	Individuelle Schließanlage 3A1EQH	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
3CPIJ	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 3CPIJ	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-08-30 00:00:00.000
3F69TD	Individuelle Schließanlage 3F69TD	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
3F70AX	Individuelle Schließanlage 3F70AX	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
3HRK14	Individuelle Schließanlage 3HRK14	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
3IJ7Z	Individuelle Schliessanlage DOM Twinstar Nr: 3IJ7Z	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-01-15 00:00:00.000
